PDB_File,LigVol,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,FractionCSP3,NumHeteroatoms,HeavyAtomCount,NumAtoms,MolMR,BertzCT,NumCarbons,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
DB01420,345.4240000000001,344.49499999999944,4.840100000000005,43.370000000000005,0,3,5,0,0.8181818181818182,3,25,57,96.88100000000006,1848.8030701928574,22,0.6760797200548466,0.9923357239510182,0.001284000024421712,0.12357107659403392,0.9490395978947586,739.1273986324003,5676.580543969778,5981.3948296383605,4.241833732740919,0.1856902862005903
DB01421,538.8240000000002,615.634000000002,-8.861700000000013,347.31999999999994,13,19,22,0,1.0,19,42,87,136.3874000000001,2578.6053941177843,23,0.16305333194579608,0.8801875225609677,0.00016859287322511945,0.4746260898096374,0.862006373337679,5112.946691326953,9286.031107618517,10772.578248653903,4.521460440824794,0.4703981188986788
DB01422,153.71200000000005,190.15800000000002,1.8485999999999998,76.26,1,4,2,2,0.0,5,14,20,50.062200000000026,750.7659089153565,9,0.2899040756812101,0.9230548145202156,0.0013203139940661248,0.38466844085660334,0.6153316265493459,466.04946195740195,745.5120904644205,1211.5614707553714,2.5241515924003712,6.577111035922376e-08
DB01423,223.05600000000004,273.33499999999975,1.2108,83.47,2,6,6,1,0.3,7,17,28,66.34800000000003,810.02726047275,10,0.2533715467189194,0.9251586251547037,0.0008341164548036515,0.37958071381704633,0.7986189247933433,957.4429567887327,2014.412315663965,2522.369872696455,3.170228787998934,0.26662523228524593
DB01424,224.38400000000004,231.29900000000012,1.55042,30.17,0,4,6,2,0.3076923076923077,4,17,34,70.07400000000004,1133.448218218861,13,0.4193039575136894,0.9665349707066445,0.0015182619412959979,0.25653489119631606,0.808809426071486,532.7206090545095,1679.5744549855515,2076.600990104069,3.044884931698065,0.1607399038499252
DB01425,290.7440000000001,315.37699999999967,1.3466999999999991,83.13999999999999,2,5,7,2,0.4375,7,23,44,87.56590000000003,1545.0674799117749,16,0.6427114225010149,0.9904632269911017,0.0011936668591252032,0.13777734203552314,0.8895120550632062,745.1928888392683,4811.081765527166,5408.675169877607,4.169397653793741,0.09537676893194966
DB01426,306.85600000000005,326.43999999999954,1.5544999999999998,46.940000000000005,2,4,5,1,0.7,4,24,50,91.73460000000006,1769.4490560876823,20,0.3881032665661998,0.9612094426874424,0.0008903007531872656,0.2758195194116915,0.8287510723332407,930.8664171812977,2796.9613719996264,3374.911315800951,3.298346282833175,0.2365663265689119
DB01427,166.30400000000003,187.20200000000006,1.0191000000000001,71.77,2,3,2,2,0.0,4,14,23,54.70610000000001,837.8710763664537,10,0.6045713711518143,0.9878042124077785,0.0034259695515349224,0.1557011173673735,0.8632585374643318,251.9749590528526,1397.0325859407142,1618.3246678848361,2.954108262168997,0.052939220888937585
DB01428,208.28800000000004,228.24700000000007,2.6318,46.53,1,3,5,2,0.07142857142857142,3,17,29,64.53330000000004,985.6080002562654,14,0.4838031943992383,0.9752106235642988,0.0019842923927611534,0.2212786471563204,0.9515865886263684,479.5596617201312,2062.298140392623,2167.220687052332,3.2118143025845165,0.26999575267541703
DB01429,335.16800000000006,322.49599999999947,4.392300000000004,6.48,0,2,10,2,0.45454545454545453,2,24,54,103.83100000000006,1751.1070190723253,22,0.4552769112142556,0.972084167100738,0.0008554699251712997,0.23463241905598756,0.8914297544191099,1042.0351764448174,3958.9634082604107,4441.138955295725,3.826114805013384,0.2643424540242705
