PDB_File,LigVol,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,FractionCSP3,NumHeteroatoms,HeavyAtomCount,NumAtoms,MolMR,BertzCT,NumCarbons,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
DB00162,313.97600000000006,286.4589999999994,5.510300000000006,20.23,1,1,11,0,0.5,1,21,51,93.21180000000004,1527.1511285225056,20,0.7332695970357223,0.9950897857836525,0.0014339601596259298,0.09897635186773072,0.9560263138496187,666.7035394477156,6439.781980452044,6735.9882119991635,4.915419866666685,0.12727479623213664
DB00163,472.4160000000001,430.71699999999925,8.840260000000002,29.46,1,2,21,1,0.7931034482758621,2,31,81,134.39080000000004,2514.9379494373065,29,0.17292635863836972,0.8866142570559172,0.0002652077405822106,0.462509631451264,0.8017259262223982,3023.0110345285134,5240.164002710692,6536.103961863239,4.14485435273838,0.4335859726174569
DB00165,154.51200000000003,169.1800000000001,0.08021999999999985,73.58,3,4,6,1,0.375,4,12,23,42.484400000000015,587.6148241220798,8,0.22892653125947585,0.906819354652802,0.0017066786989738349,0.42151946340243374,0.6772724611934782,396.8365349615589,637.6133964383743,941.4429686315351,2.416530006359966,0.1636742678301702
DB00166,183.67200000000005,206.3320000000001,2.7851,37.3,1,4,5,0,0.875,4,12,26,54.55780000000003,591.4958486439544,8,0.7907560688765904,0.9971460316278766,0.004681031283370376,0.0754969642355079,0.9525567721091447,203.49293017826125,2567.50149731808,2695.378976345038,3.6395807184431934,0.1227257684229793
DB00169,419.8400000000001,384.6479999999993,7.6190000000000095,20.23,1,1,11,0,0.7777777777777778,1,28,72,121.18880000000009,2292.615536672042,27,0.6229165548864578,0.988880165552585,0.0007052216322666934,0.14871455267287156,0.9620788430996929,1364.2219680746603,8825.559228648905,9173.426161429868,5.016974700615808,0.20715823857269647
DB00170,155.60000000000005,172.18300000000005,2.0119,34.14,0,2,1,1,0.09090909090909091,2,13,21,48.86000000000002,728.9643809307639,11,0.2956221726406865,0.9270387640521791,0.0016090011815470455,0.37496550500627146,0.6280959089230861,390.3638581043026,653.8893284667445,1041.066052456675,2.4607990019405137,0.025817462737212762
DB00173,111.52000000000002,135.13000000000002,-0.06489999999999985,80.48,2,4,1,2,0.0,5,10,15,36.0961,521.9973719015026,5,0.2792225005984746,0.915944774061272,0.002775934674067242,0.40130433696864715,0.5986956653187445,215.67354264916762,321.75783616831944,537.431377588171,1.994277646203627,7.621529417285176e-09
DB00174,117.52800000000003,132.119,-1.7262999999999993,106.41,3,4,4,0,0.5,5,9,17,29.4226,321.89215204307857,4,0.17978672725887349,0.8907547364505456,0.003930576130624783,0.4544843226019122,0.8592406496941676,218.60425065919975,413.2896318336662,480.99404047139734,2.052239668373818,0.47067092858201987
DB00175,412.7040000000001,424.53399999999954,2.4404000000000003,124.28999999999999,4,7,16,0,0.7391304347826086,7,30,66,111.44320000000006,2025.9434587454987,23,0.3239296737180285,0.9471227022371693,0.00032782565643673343,0.32087160501821016,0.8372300428869438,2553.8881001173854,6663.699156141868,7959.221259146463,4.497798553565806,0.24855295248734252
DB00176,287.5200000000001,318.33899999999966,3.201500000000001,56.84,1,4,11,1,0.5333333333333333,7,22,43,78.71440000000004,1214.5906842032389,15,0.3447360867084004,0.9492427604484587,0.00035867629085583014,0.31454440344121526,0.7181236961380663,2002.1498895970128,4571.028011339375,6365.237682479356,4.5079659458400485,0.08081629799393993
DB00177,409.8800000000001,435.52799999999974,4.1617000000000015,112.07000000000001,2,6,13,3,0.375,8,32,61,121.38650000000003,2220.3726050107653,24,0.3517315416992677,0.9537569676198003,0.00035230339629041996,0.30057885274364043,0.8321631699897882,2362.064001517027,6539.4576141310445,7858.383848219685,4.386445562921144,0.21624170338548945
DB00178,396.4320000000001,416.51799999999963,2.3832000000000004,95.93999999999998,2,6,11,1,0.6086956521739131,7,30,62,111.79750000000006,2040.7322945391354,23,0.28912183236876265,0.9358072072419875,0.0003108373716165442,0.3525122279779126,0.7522579804651285,2420.101471560281,5164.475161499057,6865.297937159552,4.16485756669032,0.2116096860709936
DB00179,289.07200000000006,302.3699999999996,3.5664000000000033,80.92,4,4,11,2,0.3333333333333333,4,22,44,85.27920000000003,1329.1118019189898,18,0.7398347706897384,0.9953384215638584,0.00160781797235686,0.09644390368896767,0.9646781511989226,599.9921432553867,6001.4089989152435,6221.151574187271,4.604716519133333,0.17095054491026815
DB00180,393.5040000000001,434.5039999999997,2.2747000000000006,93.06,2,6,8,0,0.75,7,31,62,108.52860000000007,2091.420881776016,24,0.3846474832106576,0.9598290484458261,0.0005145447454881231,0.2805854553600024,0.9144110690309764,1777.1264346767741,5791.547822217034,6333.637046142145,3.999738673822653,0.37873133288155986
DB00181,189.13600000000005,213.6640000000001,1.8570000000000002,63.31999999999999,2,3,5,1,0.3,4,14,26,55.50020000000002,712.206476655774,10,0.3470729067418043,0.9526781053089048,0.0014848343608937652,0.30398096595845486,0.8242526834045415,555.1142303229027,1505.2073819721768,1826.1479911172144,3.0157612916040386,0.3415791708518468
DB00182,145.68800000000005,135.21,1.5763,26.02,1,1,4,1,0.3333333333333333,1,10,23,43.79540000000002,591.8468135034233,9,0.48815223253744894,0.9764569414322498,0.005501351626719285,0.21571240467060726,0.8934548005636566,162.40641594772333,672.6678152441131,752.883990124341,2.423260659602583,0.25067369587422567
DB00184,164.88000000000005,162.2360000000001,1.8482999999999998,16.130000000000003,0,2,2,1,0.5,2,12,26,48.842000000000034,755.0748803522547,10,0.38318563237571385,0.9589557906311392,0.0036569394418331765,0.2835556234938863,0.9384062681496883,256.6097369332639,849.2308586206168,904.9714259636138,2.4894139771235184,0.39131619315738647
DB00185,187.14400000000003,199.31900000000013,1.5602,12.47,0,3,1,0,1.0,3,13,30,54.90000000000004,763.8986093074983,10,0.3079319473516123,0.9418526564365971,0.0025911236577349076,0.3360261501182987,0.9035505673584806,348.7099369654711,937.6563737011772,1037.746427897671,2.4145669282111037,0.45702901724356426
DB00186,255.03200000000007,321.1629999999999,3.1013000000000015,61.69,2,3,2,2,0.06666666666666667,6,21,31,83.1795,1162.6015598268223,15,0.10712093190235236,0.7912977557838607,0.000347312710413719,0.6114309950365825,0.6512303732103398,1875.0548243241487,1997.1062359398452,3066.6662952079528,3.286739545048103,0.36402196465136893
